release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
18-12-2009,Avatar,425000000.0,760507625.0,2776345279.0,Horror,2011,93.0,6.1,43,2351345279.0
20-05-2011,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,"Action,Adventure,Fantasy",2011,136.0,6.6,447624,635063875.0
07-06-2019,Dark Phoenix,350000000.0,42762350.0,149762350.0,"Action,Adventure,Sci-Fi",2019,113.0,6.0,24451,-200237650.0
01-05-2015,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,"Action,Adventure,Sci-Fi",2015,141.0,7.3,665594,1072413963.0
27-04-2018,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,"Action,Adventure,Sci-Fi",2018,149.0,8.5,670926,1748134200.0
17-11-2017,Justice League,300000000.0,229024295.0,655945209.0,"Action,Adventure,Fantasy",2017,120.0,6.5,329135,355945209.0
06-11-2015,Spectre,300000000.0,200074175.0,879620923.0,"Action,Adventure,Thriller",2015,148.0,6.8,352504,579620923.0
20-07-2012,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,"Action,Thriller",2012,164.0,8.4,1387769,809439099.0
25-05-2018,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,"Action,Adventure,Fantasy",2018,135.0,7.0,226243,118151347.0
02-07-2013,The Lone Ranger,275000000.0,89302115.0,260002115.0,"Action,Adventure,Western",2013,150.0,6.4,208827,-14997885.0
09-03-2012,John Carter,275000000.0,73058679.0,282778100.0,"Action,Adventure,Sci-Fi",2012,132.0,6.6,241792,7778100.0
24-11-2010,Tangled,260000000.0,200821936.0,586477240.0,"Adventure,Animation,Comedy",2010,100.0,7.8,366366,326477240.0
06-05-2016,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,"Action,Adventure,Sci-Fi",2016,147.0,7.8,583507,890069413.0
25-03-2016,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,"Action,Adventure,Fantasy",2016,151.0,6.5,576909,617500281.0
14-12-2012,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,"Adventure,Family,Fantasy",2012,169.0,7.9,719629,767003568.0
13-12-2013,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,"Adventure,Fantasy",2013,161.0,7.8,565563,710366855.0
17-12-2014,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,"Adventure,Fantasy",2014,144.0,7.4,438621,695577621.0
14-04-2017,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,"Action,Crime,Thriller",2017,136.0,6.7,179774,984846267.0
26-05-2017,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,"Action,Adventure,Fantasy",2017,129.0,6.6,228592,558241137.0
04-05-2012,The Avengers,225000000.0,623279547.0,1517935897.0,"Action,Adventure,Sci-Fi",2012,143.0,8.1,1183655,1292935897.0
14-08-1998,The Avengers,60000000.0,23385416.0,48585416.0,"Action,Adventure,Sci-Fi",2012,143.0,8.1,1183655,-11414584.0
14-06-2013,Man of Steel,225000000.0,291045518.0,667999518.0,"Action,Adventure,Sci-Fi",2013,143.0,7.1,647288,442999518.0
03-07-2012,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,"Action,Adventure,Sci-Fi",2012,136.0,7.0,525632,537890267.0
18-05-2012,Battleship,220000000.0,65233400.0,313477717.0,"Action,Adventure,Sci-Fi",2012,131.0,5.8,225342,93477717.0
